Sale_ID,Sale_Date,Branch_Name,Car_Brand,Car_Model,Vehicle_Year,Engine_CC,Fuel_Type,Transmission,Mileage_KM,Body_Type,Color,Customer_Gender,Customer_Age,Payment_Method,Insurance_Provider,Base_Price_LKR,Discount_Rate,Final_Sale_Price_LKR,Salesperson_ID,Year,Month
1,2022-11-05,Negombo Auto World,Suzuki,Wagon R,2022,1500,Petrol,Automatic,133627,SUV,Silver,Female,64,Leasing,None,4178294.71,0.012,4130055.32,8,2022,11
2,2022-07-31,Negombo Auto World,Hyundai,Elantra,2022,1300,Hybrid,Manual,132860,Sedan,Blue,Male,54,Cash,None,13844265.04,0.063,12973842.27,6,2022,7
3,2022-07-14,Negombo Auto World,Suzuki,Alto,2012,1300,Petrol,Manual,130938,Sedan,Blue,Female,54,Bank Loan,None,13380207.18,0.054,12651601.86,3,2022,7
4,2022-11-20,Galle Car Traders,Toyota,Aqua,2022,1000,Hybrid,Automatic,82841,Pickup,Red,Male,62,Bank Loan,Sri Lanka Insurance,11062961.59,0.04,10622468.83,3,2022,11
5,2022-05-09,Jaffna Vehicle Center,Toyota,Vitz,2020,2500,Hybrid,Automatic,70894,Sedan,Blue,Female,25,Cash,None,5412869.48,0.053,5125633.55,4,2022,5
6,2023-02-07,Jaffna Vehicle Center,Mitsubishi,Pajero,2013,2500,Petrol,Automatic,68544,Sedan,White,Male,56,Bank Loan,HNB Assurance,13712774.72,0.01,13577181.87,8,2023,2
7,2022-07-02,Galle Car Traders,Mitsubishi,Outlander,2018,1300,Electric,Manual,119536,SUV,Black,Male,41,Cash,None,3100551.52,0.011,3066397.43,5,2022,7
8,2023-06-22,Negombo Auto World,Honda,CR-V,2022,1800,Diesel,Automatic,140785,Sedan,Blue,Male,53,Bank Loan,Ceylinco Insurance,13644894.25,0.021,13355135.05,2,2023,6
9,2023-06-10,Negombo Auto World,Honda,Vezel,2013,1500,Hybrid,Automatic,48635,SUV,Black,Male,35,Cash,Ceylinco Insurance,4257885.41,0.064,3984883.31,4,2023,6
10,2023-04-05,Galle Car Traders,Hyundai,Elantra,2011,1800,Petrol,Automatic,42005,Pickup,Red,Female,39,Leasing,None,8454722.54,0.006,8406847.95,6,2023,4
11,2022-06-19,Galle Car Traders,Hyundai,Tucson,2016,1800,Hybrid,Automatic,131202,SUV,Black,Female,36,Cash,Sri Lanka Insurance,7945645.56,0.073,7366971.47,7,2022,6
12,2022-08-07,Negombo Auto World,Nissan,March,2011,1000,Diesel,Manual,137215,SUV,Silver,Male,51,Bank Loan,None,5851478.34,0.075,5412490.62,9,2022,8
13,2022-08-17,Galle Car Traders,Honda,Vezel,2012,2500,Electric,Manual,26371,Sedan,Red,Male,55,Cash,HNB Assurance,3346496.31,0.05,3180442.79,3,2022,8
14,2023-03-29,Negombo Auto World,Mitsubishi,Outlander,2014,1000,Electric,Manual,135411,Pickup,White,Female,63,Leasing,None,6159349.93,0.018,6049098.86,8,2023,3
15,2022-12-19,Galle Car Traders,Hyundai,Elantra,2020,1500,Diesel,Automatic,124175,SUV,Red,Female,62,Leasing,Sri Lanka Insurance,10058111.49,0.05,9558229.01,9,2022,12
16,2022-09-19,Jaffna Vehicle Center,Suzuki,Wagon R,2020,1500,Petrol,Manual,125259,SUV,Black,Female,59,Bank Loan,None,7190527.85,0.07,6686012.93,4,2022,9
17,2023-06-03,Negombo Auto World,Suzuki,Wagon R,2021,1300,Electric,Automatic,23224,Hatchback,Blue,Male,56,Bank Loan,HNB Assurance,9740000.0,0.053,9222242.76,4,2023,6
18,2022-08-02,Kandy Motors,Toyota,Corolla,2022,2000,Electric,Manual,112586,Pickup,Red,Male,37,Cash,Ceylinco Insurance,14216595.38,0.078,13111417.02,8,2022,8
19,2022-05-05,Galle Car Traders,Honda,Civic,2018,2000,Diesel,Manual,40152,Sedan,Silver,Male,58,Bank Loan,Ceylinco Insurance,8326796.19,0.068,7761403.09,3,2022,5
20,2022-02-10,Negombo Auto World,Toyota,Corolla,2016,1800,Petrol,Manual,32553,Sedan,White,Male,32,Bank Loan,Sri Lanka Insurance,9046593.51,0.022,8848458.36,2,2022,2
21,2022-07-08,Galle Car Traders,Honda,Fit,2019,1000,Diesel,Automatic,2696,Hatchback,Silver,Male,40,Bank Loan,None,11954834.58,0.017,11752698.13,9,2022,7
